,Room_type
9753,Entire home/apt
9755,Entire home/apt
9756,Private room
9758,Entire home/apt
9760,Private room
9762,Entire home/apt
9764,Entire home/apt
9765,Not mentioned
9767,Entire home/apt
9768,Not mentioned
9769,Not mentioned
9770,Not mentioned
9772,Entire home/apt
9773,Not mentioned
9774,Not mentioned
9775,Not mentioned
9776,Not mentioned
9777,Not mentioned
9778,Not mentioned
9779,Entire home/apt
9780,Not mentioned
9781,Not mentioned
9782,Entire home/apt
9783,Not mentioned
9785,Entire home/apt
9786,Entire home/apt
9787,Private room
9789,Entire home/apt
9791,Entire home/apt
9792,Private room
9793,Not mentioned
9794,Not mentioned
9795,Entire home/apt
9796,Private room
9797,Shared room
9798,Entire home/apt
9799,Entire home/apt
9801,Entire home/apt
9802,Not mentioned
9804,Entire home/apt
9805,Entire home/apt
9806,Entire home/apt
9807,Entire home/apt
9808,Entire home/apt
9809,Not mentioned
9810,Not mentioned
9811,Not mentioned
9812,Not mentioned
9813,Not mentioned
9814,Entire home/apt
9815,Not mentioned
9816,Not mentioned
9817,Not mentioned
9818,Not mentioned
9819,Not mentioned
9820,Not mentioned
9821,Not mentioned
9823,Entire home/apt
9824,Entire home/apt
9826,Entire home/apt
9827,Not mentioned
9828,Not mentioned
9829,Not mentioned
9830,Entire home/apt
9831,Entire home/apt
9832,Entire home/apt
9833,Private room
9834,Entire home/apt
9835,Private room
9836,Shared room
9837,Private room
9838,Shared room
9839,Entire home/apt
9840,Shared room
9841,Private room
9842,Entire home/apt
9844,Entire home/apt
9845,Not mentioned
9847,Entire home/apt
9848,Private room
9849,Shared room
9850,Private room
9851,Private room
9852,Shared room
9853,Private room
9854,Not mentioned
9855,Not mentioned
9857,Entire home/apt
9858,Entire home/apt
9859,Private room
9860,Private room
9862,Entire home/apt
9863,Entire home/apt
9865,Entire home/apt
9867,Entire home/apt
9868,Private room
9869,Private room
9870,Not mentioned
9871,Not mentioned
9873,Entire home/apt
9874,Private room
9875,Private room
9876,Not mentioned
9877,Not mentioned
9878,Private room
9880,Entire home/apt
9881,Not mentioned
9882,Not mentioned
9883,Not mentioned
9884,Not mentioned
9886,Entire home/apt
9887,Not mentioned
9888,Not mentioned
9890,Entire home/apt
9892,Shared room
9893,Shared room
9894,Private room
9895,Entire home/apt
9896,Not mentioned
9897,Shared room
9898,Private room
9899,Entire home/apt
9900,Shared room
9901,Private room
9902,Entire home/apt
9903,Shared room
9904,Private room
9905,Entire home/apt
9907,Shared room
9908,Private room
9909,Entire home/apt
9910,Shared room
9911,Private room
9912,Entire home/apt
9914,Entire home/apt
9915,Not mentioned
9916,Not mentioned
9917,Not mentioned
9918,Not mentioned
9919,Not mentioned
9920,Not mentioned
9921,Not mentioned
9922,Not mentioned
9923,Private room
9925,Private room
9927,Entire home/apt
9928,Not mentioned
9929,Not mentioned
9930,Not mentioned
9932,Entire home/apt
9933,Not mentioned
9934,Not mentioned
9935,Not mentioned
9936,Not mentioned
9938,Private room
9939,Not mentioned
9941,Entire home/apt
9942,Entire home/apt
9944,Entire home/apt
9945,Not mentioned
9947,Private room
9948,Not mentioned
9950,Entire home/apt
9951,Not mentioned
9952,Not mentioned
9954,Entire home/apt
9955,Not mentioned
9956,Private room
9957,Not mentioned
9959,Entire home/apt
9960,Entire home/apt
9961,Not mentioned
9962,Not mentioned
9963,Entire home/apt
9964,Entire home/apt
9965,Private room
9966,Private room
9967,Not mentioned
9968,Not mentioned
9969,Not mentioned
9970,Not mentioned
9971,Not mentioned
9972,Not mentioned
9973,Not mentioned
9975,Private room
9976,Not mentioned
9977,Not mentioned
9979,Entire home/apt
9980,Entire home/apt
9981,Private room
9982,Not mentioned
9984,Private room
9985,Not mentioned
9986,Not mentioned
9987,Not mentioned
9989,Entire home/apt
9991,Entire home/apt
9993,Entire home/apt
9994,Not mentioned
9995,Not mentioned
9997,Entire home/apt
9999,Entire home/apt
10000,Not mentioned
10001,Not mentioned
10003,Private room
10004,Entire home/apt
10005,Private room
10006,Shared room
10007,Shared room
10008,Not mentioned
10009,Not mentioned
10010,Not mentioned
10011,Not mentioned
10012,Not mentioned
10013,Private room
10014,Private room
10015,Private room
10017,Entire home/apt
10018,Private room
10019,Shared room
10020,Not mentioned
10021,Not mentioned
10022,Not mentioned
10023,Not mentioned
10025,Entire home/apt
10027,Entire home/apt
10028,Not mentioned
10029,Not mentioned
10031,Entire home/apt
10032,Not mentioned
10034,Entire home/apt
10035,Private room
10036,Not mentioned
10038,Entire home/apt
10040,Entire home/apt
10042,Entire home/apt
10043,Private room
10044,Not mentioned
10046,Entire home/apt
10048,Entire home/apt
10050,Entire home/apt
10052,Entire home/apt
10053,Entire home/apt
10055,Entire home/apt
10056,Not mentioned
10057,Not mentioned
10058,Entire home/apt
10060,Entire home/apt
10061,Private room
10062,Not mentioned
10063,Not mentioned
10064,Not mentioned
10065,Entire home/apt
10066,Private room
10067,Not mentioned
10068,Entire home/apt
10069,Entire home/apt
10070,Not mentioned
10071,Not mentioned
10073,Private room
10074,Not mentioned
10075,Entire home/apt
10076,Private room
10077,Not mentioned
10079,Private room
10080,Shared room
10081,Private room
10082,Entire home/apt
10083,Not mentioned
10084,Entire home/apt
10085,Private room
10086,Private room
10087,Entire home/apt
10088,Private room
10089,Shared room
10091,Entire home/apt
10092,Entire home/apt
10093,Private room
10094,Private room
10095,Not mentioned
10096,Not mentioned
10098,Entire home/apt
10099,Not mentioned
10100,Private room
10101,Private room
10102,Not mentioned
10103,Not mentioned
10104,Not mentioned
10106,Entire home/apt
10107,Not mentioned
10109,Entire home/apt
10110,Not mentioned
10111,Entire home/apt
10112,Not mentioned
10114,Private room
10115,Not mentioned
10116,Entire home/apt
10117,Private room
10118,Private room
10120,Entire home/apt
10121,Entire home/apt
10122,Private room
10123,Entire home/apt
10125,Entire home/apt
10126,Entire home/apt
10127,Entire home/apt
10128,Not mentioned
10129,Not mentioned
10131,Entire home/apt
10132,Not mentioned
10133,Not mentioned
10134,Entire home/apt
10135,Not mentioned
10136,Not mentioned
10137,Not mentioned
10139,Entire home/apt
10141,Entire home/apt
10142,Entire home/apt
10143,Private room
10144,Not mentioned
10145,Not mentioned
10146,Not mentioned
10147,Not mentioned
10149,Entire home/apt
10150,Not mentioned
10151,Not mentioned
10152,Not mentioned
10153,Not mentioned
10155,Entire home/apt
10157,Entire home/apt
10158,Not mentioned
10159,Not mentioned
10160,Not mentioned
10162,Private room
10164,Private room
10165,Entire home/apt
10166,Not mentioned
10167,Entire home/apt
10168,Private room
10169,Not mentioned
10170,Not mentioned
10172,Entire home/apt
10173,Private room
10174,Entire home/apt
10176,Entire home/apt
10177,Entire home/apt
10178,Private room
10179,Private room
10181,Entire home/apt
10182,Entire home/apt
10183,Private room
10184,Private room
10186,Entire home/apt
10187,Private room
10188,Private room
10190,Entire home/apt
10192,Private room
10193,Not mentioned
10194,Not mentioned
10195,Not mentioned
10196,Not mentioned
10197,Not mentioned
10199,Entire home/apt
10200,Not mentioned
10201,Not mentioned
10202,Not mentioned
10203,Not mentioned
10205,Entire home/apt
10207,Entire home/apt
10208,Not mentioned
10209,Not mentioned
10210,Not mentioned
10211,Not mentioned
10213,Entire home/apt
10214,Private room
10215,Private room
10216,Not mentioned
10217,Not mentioned
10218,Entire home/apt
10219,Private room
10220,Not mentioned
10221,Private room
10222,Not mentioned
10224,Private room
10226,Private room
10227,Not mentioned
10228,Not mentioned
10229,Not mentioned
10230,Not mentioned
10231,Private room
10232,Entire home/apt
10234,Private room
10235,Not mentioned
10236,Not mentioned
10237,Not mentioned
10238,Not mentioned
10239,Entire home/apt
10241,Entire home/apt
10243,Private room
10245,Private room
10246,Entire home/apt
10248,Private room
10249,Not mentioned
10250,Not mentioned
10252,Private room
10254,Private room
10256,Entire home/apt
10257,Entire home/apt
10258,Private room
10259,Private room
10260,Not mentioned
10262,Entire home/apt
10263,Private room
10264,Private room
10265,Not mentioned
10266,Not mentioned
10267,Not mentioned
10269,Entire home/apt
10270,Entire home/apt
10271,Entire home/apt
10272,Not mentioned
10273,Not mentioned
10274,Not mentioned
10275,Not mentioned
10277,Entire home/apt
10278,Private room
10279,Not mentioned
10281,Entire home/apt
10282,Entire home/apt
10283,Not mentioned
10284,Not mentioned
10285,Not mentioned
10286,Not mentioned
10287,Not mentioned
10288,Not mentioned
10290,Entire home/apt
10291,Entire home/apt
10292,Not mentioned
10293,Not mentioned
10294,Not mentioned
10295,Not mentioned
10296,Not mentioned
10297,Not mentioned
10298,Entire home/apt
10299,Private room
10300,Not mentioned
10302,Entire home/apt
10303,Entire home/apt
10304,Not mentioned
10305,Not mentioned
10307,Entire home/apt
10308,Not mentioned
10309,Not mentioned
10310,Entire home/apt
10312,Private room
10313,Not mentioned
10314,Not mentioned
10315,Not mentioned
10317,Private room
10318,Not mentioned
10319,Not mentioned
10320,Not mentioned
10321,Not mentioned
10323,Entire home/apt
10325,Entire home/apt
10326,Not mentioned
10328,Entire home/apt
10329,Private room
10330,Shared room
10332,Entire home/apt
10333,Not mentioned
10335,Private room
10337,Entire home/apt
10339,Entire home/apt
10340,Private room
10341,Not mentioned
10343,Entire home/apt
10344,Not mentioned
10345,Not mentioned
10346,Not mentioned
10347,Not mentioned
10348,Not mentioned
10349,Entire home/apt
10350,Not mentioned
10351,Not mentioned
10352,Not mentioned
10353,Not mentioned
10354,Not mentioned
10355,Not mentioned
10356,Not mentioned
10358,Entire home/apt
10359,Not mentioned
10360,Not mentioned
10361,Not mentioned
10362,Not mentioned
10363,Not mentioned
10364,Not mentioned
10365,Not mentioned
10366,Not mentioned
10367,Not mentioned
10368,Not mentioned
10369,Not mentioned
10370,Private room
10371,Shared room
10372,Private room
10373,Shared room
10374,Not mentioned
10375,Not mentioned
10377,Entire home/apt
10378,Entire home/apt
10379,Not mentioned
10380,Not mentioned
10381,Not mentioned
10383,Entire home/apt
10385,Entire home/apt
10387,Entire home/apt
10388,Not mentioned
10389,Not mentioned
10390,Not mentioned
10391,Private room
10393,Entire home/apt
10394,Entire home/apt
10395,Private room
10396,Private room
10398,Private room
10399,Not mentioned
10400,Not mentioned
10401,Entire home/apt
10402,Not mentioned
10403,Not mentioned
10404,Not mentioned
10405,Not mentioned
10406,Entire home/apt
10407,Not mentioned
10408,Not mentioned
10409,Shared room
10410,Private room
10411,Entire home/apt
10412,Shared room
10413,Shared room
10414,Private room
10415,Shared room
10416,Private room
10417,Entire home/apt
10418,Not mentioned
10419,Not mentioned
10420,Not mentioned
10421,Not mentioned
10423,Entire home/apt
10424,Entire home/apt
10425,Private room
10426,Entire home/apt
10427,Private room
10428,Shared room
10429,Not mentioned
10430,Not mentioned
10431,Not mentioned
10433,Private room
10434,Entire home/apt
10436,Entire home/apt
10438,Entire home/apt
10439,Entire home/apt
10440,Not mentioned
10441,Not mentioned
10442,Not mentioned
10443,Not mentioned
10444,Not mentioned
10445,Not mentioned
10447,Entire home/apt
10449,Entire home/apt
10451,Entire home/apt
10453,Entire home/apt
10454,Not mentioned
10455,Not mentioned
10456,Not mentioned
10457,Entire home/apt
10459,Private room
10461,Entire home/apt
10462,Entire home/apt
10463,Entire home/apt
10464,Entire home/apt
10465,Entire home/apt
10467,Entire home/apt
10468,Entire home/apt
10469,Private room
10470,Private room
10471,Entire home/apt
10472,Not mentioned
10474,Entire home/apt
10476,Entire home/apt
10478,Entire home/apt
10479,Entire home/apt
10480,Private room
10482,Entire home/apt
10483,Not mentioned
10484,Not mentioned
10485,Not mentioned
10486,Not mentioned
10487,Not mentioned
10488,Not mentioned
10489,Not mentioned
10490,Not mentioned
10491,Not mentioned
10492,Not mentioned
10493,Not mentioned
10494,Not mentioned
10495,Not mentioned
10496,Entire home/apt
10497,Entire home/apt
10498,Not mentioned
10500,Entire home/apt
10501,Not mentioned
10503,Entire home/apt
10504,Entire home/apt
10505,Not mentioned
10506,Not mentioned
10507,Entire home/apt
10508,Not mentioned
10509,Not mentioned
10510,Not mentioned
10511,Not mentioned
10512,Not mentioned
10513,Not mentioned
10514,Private room
10515,Entire home/apt
10516,Not mentioned
10517,Not mentioned
10518,Private room
10519,Private room
10520,Not mentioned
10521,Private room
10522,Entire home/apt
10523,Private room
10524,Entire home/apt
10525,Not mentioned
10527,Entire home/apt
10528,Private room
10530,Entire home/apt
10531,Not mentioned
10532,Not mentioned
10533,Not mentioned
10535,Entire home/apt
10536,Not mentioned
10537,Not mentioned
10538,Not mentioned
10539,Not mentioned
10540,Not mentioned
10541,Not mentioned
10542,Private room
10544,Private room
10545,Not mentioned
10546,Not mentioned
10547,Not mentioned
10548,Not mentioned
10549,Not mentioned
10550,Not mentioned
10552,Entire home/apt
10553,Private room
10554,Shared room
10555,Not mentioned
10556,Not mentioned
10557,Not mentioned
10558,Not mentioned
10559,Not mentioned
10560,Not mentioned
10562,Entire home/apt
10563,Not mentioned
10564,Not mentioned
10565,Not mentioned
10566,Not mentioned
10568,Entire home/apt
10569,Private room
10570,Not mentioned
10571,Not mentioned
10572,Not mentioned
10573,Not mentioned
10574,Not mentioned
10575,Not mentioned
10576,Entire home/apt
10577,Private room
10578,Not mentioned
10579,Not mentioned
10580,Entire home/apt
10582,Entire home/apt
10583,Not mentioned
10585,Entire home/apt
10587,Entire home/apt
10588,Not mentioned
10590,Entire home/apt
10591,Entire home/apt
10592,Entire home/apt
10593,Private room
10594,Not mentioned
10596,Shared room
10597,Not mentioned
10599,Entire home/apt
10600,Entire home/apt
10601,Private room
10603,Entire home/apt
10604,Private room
10606,Entire home/apt
10607,Private room
10609,Entire home/apt
10610,Not mentioned
10612,Entire home/apt
10613,Not mentioned
10614,Not mentioned
10616,Entire home/apt
10617,Not mentioned
10618,Not mentioned
10620,Private room
10622,Entire home/apt
10623,Entire home/apt
10624,Private room
10625,Private room
10627,Private room
10628,Entire home/apt
10629,Private room
10630,Not mentioned
10631,Not mentioned
10632,Not mentioned
10633,Not mentioned
10634,Not mentioned
10635,Not mentioned
10636,Not mentioned
10638,Entire home/apt
10640,Entire home/apt
10641,Not mentioned
10643,Entire home/apt
10645,Entire home/apt
10646,Entire home/apt
10647,Entire home/apt
10648,Private room
10650,Entire home/apt
10651,Entire home/apt
10652,Private room
10653,Private room
10654,Not mentioned
10655,Private room
10656,Not mentioned
10657,Not mentioned
10658,Entire home/apt
10659,Not mentioned
10660,Entire home/apt
10661,Not mentioned
10662,Not mentioned
10663,Not mentioned
10664,Not mentioned
10666,Entire home/apt
10667,Private room
10668,Shared room
10669,Private room
10670,Private room
10671,Shared room
10672,Shared room
10673,Not mentioned
10674,Private room
10675,Entire home/apt
10676,Not mentioned
10677,Not mentioned
10678,Not mentioned
10680,Entire home/apt
10682,Entire home/apt
10684,Entire home/apt
10685,Private room
10686,Not mentioned
10687,Private room
10688,Private room
10689,Private room
10690,Shared room
10691,Not mentioned
10693,Entire home/apt
10694,Not mentioned
10695,Not mentioned
10696,Not mentioned
10697,Not mentioned
10699,Private room
10700,Entire home/apt
10702,Private room
10703,Entire home/apt
10704,Private room
10705,Entire home/apt
10706,Private room
10707,Not mentioned
10709,Entire home/apt
10710,Private room
10711,Private room
10712,Not mentioned
10713,Not mentioned
10714,Entire home/apt
10715,Not mentioned
10717,Entire home/apt
10718,Not mentioned
10719,Entire home/apt
10720,Not mentioned
10721,Not mentioned
10722,Not mentioned
10724,Entire home/apt
10725,Not mentioned
10726,Entire home/apt
10727,Not mentioned
10728,Not mentioned
10729,Not mentioned
10731,Private room
10732,Not mentioned
10734,Private room
10735,Private room
10736,Private room
10737,Entire home/apt
10738,Not mentioned
10740,Private room
10742,Private room
10743,Private room
10744,Not mentioned
10745,Not mentioned
10746,Not mentioned
10747,Not mentioned
10748,Not mentioned
10750,Entire home/apt
10752,Private room
10753,Not mentioned
10754,Not mentioned
10755,Entire home/apt
10756,Entire home/apt
10757,Entire home/apt
10758,Not mentioned
10759,Not mentioned
10760,Not mentioned
10762,Entire home/apt
10763,Not mentioned
10765,Entire home/apt
10766,Not mentioned
10767,Not mentioned
10768,Not mentioned
10769,Not mentioned
10771,Entire home/apt
10773,Entire home/apt
10775,Private room
10776,Entire home/apt
10777,Private room
10778,Not mentioned
10780,Entire home/apt
10781,Private room
10782,Not mentioned
10783,Not mentioned
10784,Not mentioned
10785,Not mentioned
10787,Entire home/apt
10789,Entire home/apt
10790,Not mentioned
10791,Not mentioned
10792,Not mentioned
10793,Not mentioned
10794,Not mentioned
10796,Entire home/apt
10797,Not mentioned
10799,Private room
10800,Not mentioned
10802,Entire home/apt
10804,Entire home/apt
10805,Not mentioned
10806,Not mentioned
10808,Entire home/apt
10809,Not mentioned
10810,Not mentioned
10811,Not mentioned
10812,Not mentioned
10814,Entire home/apt
10815,Entire home/apt
10816,Private room
10817,Private room
10818,Not mentioned
10819,Not mentioned
10820,Entire home/apt
10821,Not mentioned
10822,Not mentioned
10823,Not mentioned
10824,Not mentioned
10825,Not mentioned
10826,Not mentioned
10828,Entire home/apt
10830,Private room
10831,Not mentioned
10832,Not mentioned
10834,Entire home/apt
10835,Not mentioned
10837,Entire home/apt
10838,Entire home/apt
10839,Not mentioned
10840,Not mentioned
10841,Not mentioned
10842,Private room
10843,Not mentioned
10845,Entire home/apt
10846,Not mentioned
10848,Entire home/apt
10849,Entire home/apt
10851,Private room
10852,Not mentioned
10853,Not mentioned
10854,Not mentioned
10855,Not mentioned
10856,Not mentioned
10858,Entire home/apt
10859,Not mentioned
10860,Entire home/apt
10861,Private room
10862,Not mentioned
10863,Private room
10864,Not mentioned
10865,Entire home/apt
10867,Entire home/apt
10869,Private room
10870,Not mentioned
10871,Not mentioned
10873,Entire home/apt
10874,Private room
10875,Private room
10876,Not mentioned
10878,Shared room
10879,Not mentioned
10880,Not mentioned
10881,Private room
10882,Not mentioned
10884,Entire home/apt
10885,Not mentioned
10886,Not mentioned
10887,Entire home/apt
10888,Entire home/apt
10890,Entire home/apt
10891,Entire home/apt
10893,Private room
10894,Not mentioned
10895,Not mentioned
10896,Entire home/apt
10897,Entire home/apt
10899,Entire home/apt
10900,Entire home/apt
10901,Entire home/apt
10902,Entire home/apt
10903,Entire home/apt
10904,Entire home/apt
10905,Not mentioned
10906,Not mentioned
10908,Entire home/apt
10909,Not mentioned
10910,Not mentioned
10911,Not mentioned
10912,Not mentioned
10913,Not mentioned
10914,Not mentioned
10915,Not mentioned
10917,Entire home/apt
10918,Private room
10919,Private room
10920,Entire home/apt
10921,Not mentioned
10922,Not mentioned
10923,Not mentioned
10924,Not mentioned
10925,Not mentioned
10926,Not mentioned
10927,Not mentioned
10928,Not mentioned
10930,Entire home/apt
10931,Not mentioned
10933,Entire home/apt
10934,Private room
10935,Not mentioned
10936,Not mentioned
10937,Not mentioned
10939,Entire home/apt
10940,Private room
10941,Private room
10942,Shared room
10943,Not mentioned
10944,Not mentioned
10945,Not mentioned
10946,Not mentioned
10947,Entire home/apt
10948,Entire home/apt
10949,Not mentioned
10950,Not mentioned
10951,Not mentioned
10952,Private room
10953,Shared room
10954,Entire home/apt
10955,Not mentioned
10956,Not mentioned
10958,Private room
10959,Not mentioned
10960,Not mentioned
10961,Not mentioned
10962,Not mentioned
10963,Not mentioned
10964,Not mentioned
10965,Not mentioned
10967,Entire home/apt
10968,Entire home/apt
10969,Private room
10970,Not mentioned
10971,Not mentioned
10972,Not mentioned
10974,Entire home/apt
10976,Entire home/apt
10977,Entire home/apt
10978,Not mentioned
10979,Not mentioned
10980,Not mentioned
10981,Not mentioned
10982,Not mentioned
10983,Not mentioned
10984,Not mentioned
10985,Not mentioned
10986,Not mentioned
10987,Not mentioned
10989,Entire home/apt
10991,Entire home/apt
10992,Not mentioned
10993,Not mentioned
10994,Not mentioned
10995,Not mentioned
10996,Not mentioned
10997,Not mentioned
10998,Not mentioned
11000,Entire home/apt
11001,Not mentioned
11002,Not mentioned
11003,Not mentioned
11005,Entire home/apt
11006,Entire home/apt
11007,Private room
11008,Not mentioned
11009,Not mentioned
11011,Private room
11012,Not mentioned
11013,Not mentioned
11015,Entire home/apt
11016,Not mentioned
11018,Entire home/apt
11019,Shared room
11020,Entire home/apt
11021,Entire home/apt
11022,Entire home/apt
11023,Private room
11024,Private room
11026,Entire home/apt
11027,Private room
11028,Not mentioned
11029,Not mentioned
11030,Not mentioned
11031,Not mentioned
11032,Not mentioned
11033,Entire home/apt
11035,Entire home/apt
11036,Not mentioned
11037,Entire home/apt
11039,Entire home/apt
11040,Not mentioned
11041,Not mentioned
11042,Not mentioned
11044,Private room
11045,Not mentioned
11046,Entire home/apt
11047,Entire home/apt
11048,Entire home/apt
11049,Private room
11050,Not mentioned
11051,Not mentioned
11053,Entire home/apt
11054,Not mentioned
11055,Not mentioned
11057,Private room
11058,Not mentioned
11059,Not mentioned
11060,Not mentioned
11062,Private room
11063,Not mentioned
11065,Entire home/apt
11066,Not mentioned
11068,Entire home/apt
11069,Not mentioned
11071,Private room
11073,Private room
11074,Private room
11076,Entire home/apt
11077,Not mentioned
11078,Not mentioned
11080,Entire home/apt
11081,Not mentioned
11082,Not mentioned
11083,Not mentioned
11084,Entire home/apt
11086,Entire home/apt
11088,Entire home/apt
11089,Not mentioned
11090,Not mentioned
11091,Not mentioned
11092,Not mentioned
11093,Not mentioned
11094,Private room
11095,Not mentioned
11097,Entire home/apt
11099,Entire home/apt
11100,Not mentioned
11101,Not mentioned
11102,Entire home/apt
11103,Not mentioned
11104,Not mentioned
11105,Not mentioned
11107,Entire home/apt
11108,Entire home/apt
11110,Entire home/apt
11111,Not mentioned
11112,Not mentioned
11113,Entire home/apt
11114,Not mentioned
11115,Not mentioned
11117,Entire home/apt
11119,Entire home/apt
11120,Entire home/apt
11121,Private room
11122,Not mentioned
11124,Entire home/apt
11125,Not mentioned
11127,Entire home/apt
11128,Not mentioned
11129,Entire home/apt
11130,Not mentioned
11131,Not mentioned
11132,Not mentioned
11133,Not mentioned
11134,Not mentioned
11136,Entire home/apt
11138,Entire home/apt
11139,Not mentioned
11140,Not mentioned
11142,Entire home/apt
11144,Entire home/apt
11145,Entire home/apt
11146,Not mentioned
11147,Not mentioned
11148,Not mentioned
11149,Entire home/apt
11150,Not mentioned
11152,Entire home/apt
11153,Not mentioned
11154,Not mentioned
11155,Not mentioned
11156,Entire home/apt
11157,Not mentioned
11159,Entire home/apt
11160,Not mentioned
11161,Not mentioned
11162,Private room
11163,Entire home/apt
11164,Private room
11165,Private room
11166,Entire home/apt
11167,Private room
11168,Private room
11169,Private room
11170,Not mentioned
11171,Not mentioned
11173,Entire home/apt
11174,Private room
11175,Not mentioned
11177,Entire home/apt
11179,Entire home/apt
11180,Private room
11181,Entire home/apt
11182,Not mentioned
11183,Not mentioned
11184,Private room
11185,Private room
11186,Entire home/apt
11187,Private room
11189,Entire home/apt
11190,Entire home/apt
11191,Not mentioned
11192,Not mentioned
11193,Not mentioned
11194,Not mentioned
11196,Entire home/apt
11198,Private room
11200,Private room
11201,Not mentioned
11202,Not mentioned
11203,Shared room
11205,Shared room
11206,Not mentioned
11208,Shared room
11210,Entire home/apt
11211,Not mentioned
11213,Entire home/apt
11214,Private room
11215,Private room
11216,Shared room
11218,Entire home/apt
11219,Not mentioned
11220,Entire home/apt
11221,Not mentioned
11223,Entire home/apt
11224,Entire home/apt
11225,Not mentioned
11226,Not mentioned
11227,Not mentioned
11229,Entire home/apt
11230,Not mentioned
11231,Not mentioned
11232,Not mentioned
11234,Entire home/apt
11235,Not mentioned
11237,Entire home/apt
11239,Entire home/apt
11240,Not mentioned
11242,Entire home/apt
11243,Not mentioned
11244,Not mentioned
11245,Entire home/apt
11247,Entire home/apt
11249,Entire home/apt
11251,Private room
11252,Entire home/apt
11253,Not mentioned
11254,Private room
11255,Entire home/apt
11256,Entire home/apt
11257,Entire home/apt
11258,Not mentioned
11259,Not mentioned
11260,Not mentioned
11261,Not mentioned
11263,Entire home/apt
11264,Private room
11265,Not mentioned
11266,Not mentioned
11267,Not mentioned
11269,Entire home/apt
11271,Entire home/apt
11272,Not mentioned
11273,Not mentioned
11274,Entire home/apt
11276,Entire home/apt
11277,Entire home/apt
11278,Not mentioned
11280,Entire home/apt
11281,Not mentioned
11282,Not mentioned
11283,Not mentioned
11284,Not mentioned
11286,Private room
11287,Entire home/apt
11288,Not mentioned
11289,Not mentioned
11291,Entire home/apt
11292,Not mentioned
11294,Entire home/apt
11295,Not mentioned
11296,Not mentioned
11297,Not mentioned
11298,Not mentioned
11300,Private room
11302,Entire home/apt
11303,Entire home/apt
11304,Private room
11305,Private room
11306,Not mentioned
11307,Not mentioned
11308,Not mentioned
11309,Private room
11310,Not mentioned
11311,Not mentioned
11312,Not mentioned
11314,Private room
11316,Entire home/apt
11317,Not mentioned
11318,Not mentioned
11320,Entire home/apt
11321,Not mentioned
11322,Not mentioned
11324,Entire home/apt
11325,Not mentioned
11327,Entire home/apt
11328,Not mentioned
11330,Entire home/apt
11331,Not mentioned
11332,Not mentioned
11333,Not mentioned
11334,Not mentioned
11335,Not mentioned
11337,Shared room
11339,Shared room
11340,Not mentioned
11341,Not mentioned
11342,Not mentioned
11343,Not mentioned
11345,Entire home/apt
11346,Not mentioned
11347,Not mentioned
11348,Entire home/apt
11349,Entire home/apt
11350,Entire home/apt
11351,Not mentioned
11352,Not mentioned
11353,Not mentioned
11354,Entire home/apt
11356,Entire home/apt
11358,Private room
11359,Not mentioned
11361,Entire home/apt
11362,Not mentioned
11363,Not mentioned
11365,Entire home/apt
11366,Private room
11367,Shared room
11369,Private room
11370,Private room
11371,Shared room
11372,Shared room
11373,Not mentioned
11374,Not mentioned
11375,Not mentioned
11377,Private room
11378,Entire home/apt
11380,Entire home/apt
11382,Entire home/apt
11384,Entire home/apt
11385,Not mentioned
11387,Entire home/apt
11388,Entire home/apt
11389,Private room
11390,Not mentioned
11392,Entire home/apt
11393,Not mentioned
11394,Not mentioned
11396,Entire home/apt
11398,Entire home/apt
11399,Entire home/apt
11401,Entire home/apt
11402,Entire home/apt
11404,Entire home/apt
11405,Entire home/apt
11406,Entire home/apt
11407,Not mentioned
11408,Not mentioned
11409,Not mentioned
11410,Entire home/apt
11411,Not mentioned
11413,Entire home/apt
11414,Not mentioned
11415,Not mentioned
11417,Entire home/apt
11419,Entire home/apt
11420,Entire home/apt
11421,Entire home/apt
11422,Not mentioned
11424,Private room
11425,Not mentioned
11427,Entire home/apt
11428,Entire home/apt
11429,Private room
11431,Entire home/apt
11432,Not mentioned
11433,Not mentioned
11434,Not mentioned
11435,Not mentioned
11436,Not mentioned
11438,Entire home/apt
11439,Entire home/apt
11440,Entire home/apt
11441,Entire home/apt
11443,Entire home/apt
11444,Not mentioned
11445,Entire home/apt
11446,Entire home/apt
11448,Entire home/apt
11450,Entire home/apt
11451,Entire home/apt
11452,Private room
11453,Private room
11454,Not mentioned
11456,Private room
11457,Entire home/apt
11458,Entire home/apt
11459,Entire home/apt
11460,Not mentioned
11461,Not mentioned
11463,Entire home/apt
11464,Not mentioned
11466,Entire home/apt
11468,Entire home/apt
11469,Not mentioned
11471,Entire home/apt
11472,Private room
11473,Private room
11474,Entire home/apt
11475,Private room
11476,Not mentioned
11477,Not mentioned
11479,Entire home/apt
11480,Not mentioned
11481,Entire home/apt
11482,Not mentioned
11484,Private room
11486,Entire home/apt
11487,Entire home/apt
11488,Not mentioned
11489,Not mentioned
11491,Entire home/apt
11492,Entire home/apt
11493,Private room
11494,Not mentioned
11495,Not mentioned
11496,Not mentioned
11497,Not mentioned
11498,Not mentioned
11499,Entire home/apt
11500,Shared room
11501,Private room
11502,Entire home/apt
11503,Not mentioned
11504,Not mentioned
11505,Not mentioned
11507,Entire home/apt
11508,Entire home/apt
11509,Shared room
11510,Shared room
11512,Entire home/apt
11514,Entire home/apt
11515,Not mentioned
11516,Entire home/apt
11517,Not mentioned
