,Room_type
438,Not mentioned
439,Not mentioned
440,Not mentioned
441,Not mentioned
442,Not mentioned
444,Private room
445,Not mentioned
446,Not mentioned
447,Entire home/apt
448,Entire home/apt
449,Entire home/apt
450,Private room
452,Entire home/apt
453,Not mentioned
454,Not mentioned
455,Not mentioned
457,Entire home/apt
459,Entire home/apt
460,Not mentioned
462,Private room
463,Not mentioned
465,Entire home/apt
466,Not mentioned
467,Not mentioned
468,Not mentioned
469,Not mentioned
470,Not mentioned
471,Not mentioned
472,Not mentioned
473,Not mentioned
474,Not mentioned
475,Not mentioned
477,Entire home/apt
478,Not mentioned
480,Entire home/apt
481,Not mentioned
483,Entire home/apt
484,Not mentioned
485,Not mentioned
487,Entire home/apt
488,Entire home/apt
489,Not mentioned
490,Not mentioned
491,Not mentioned
493,Entire home/apt
494,Not mentioned
495,Not mentioned
496,Entire home/apt
498,Entire home/apt
499,Entire home/apt
500,Private room
501,Not mentioned
502,Not mentioned
503,Not mentioned
504,Not mentioned
506,Entire home/apt
507,Private room
508,Not mentioned
510,Entire home/apt
511,Not mentioned
513,Entire home/apt
514,Entire home/apt
515,Private room
516,Not mentioned
517,Not mentioned
518,Not mentioned
519,Not mentioned
520,Not mentioned
521,Not mentioned
522,Entire home/apt
523,Not mentioned
525,Entire home/apt
527,Entire home/apt
528,Not mentioned
529,Not mentioned
530,Not mentioned
532,Entire home/apt
534,Entire home/apt
535,Not mentioned
537,Entire home/apt
538,Not mentioned
539,Not mentioned
540,Not mentioned
541,Entire home/apt
543,Entire home/apt
545,Entire home/apt
547,Shared room
549,Entire home/apt
550,Entire home/apt
551,Not mentioned
553,Entire home/apt
554,Not mentioned
555,Not mentioned
556,Entire home/apt
557,Not mentioned
559,Entire home/apt
561,Entire home/apt
562,Private room
564,Entire home/apt
565,Entire home/apt
566,Private room
567,Not mentioned
569,Private room
571,Entire home/apt
572,Entire home/apt
573,Private room
574,Private room
575,Not mentioned
576,Not mentioned
578,Entire home/apt
579,Private room
580,Not mentioned
581,Not mentioned
582,Not mentioned
583,Not mentioned
585,Entire home/apt
586,Entire home/apt
587,Private room
588,Private room
589,Not mentioned
590,Not mentioned
591,Not mentioned
592,Not mentioned
593,Entire home/apt
594,Entire home/apt
595,Entire home/apt
596,Not mentioned
598,Private room
599,Entire home/apt
601,Entire home/apt
602,Not mentioned
603,Not mentioned
604,Not mentioned
606,Entire home/apt
607,Not mentioned
609,Entire home/apt
611,Entire home/apt
613,Entire home/apt
614,Private room
616,Entire home/apt
617,Not mentioned
618,Not mentioned
619,Not mentioned
620,Private room
621,Not mentioned
622,Not mentioned
623,Not mentioned
625,Entire home/apt
627,Entire home/apt
629,Entire home/apt
630,Entire home/apt
631,Entire home/apt
632,Private room
634,Entire home/apt
635,Not mentioned
636,Not mentioned
638,Entire home/apt
639,Not mentioned
640,Entire home/apt
641,Not mentioned
643,Entire home/apt
644,Entire home/apt
645,Private room
646,Not mentioned
647,Not mentioned
648,Not mentioned
649,Not mentioned
651,Entire home/apt
653,Entire home/apt
654,Entire home/apt
655,Entire home/apt
656,Private room
657,Entire home/apt
658,Not mentioned
660,Entire home/apt
661,Not mentioned
662,Not mentioned
663,Not mentioned
665,Entire home/apt
666,Private room
667,Private room
669,Entire home/apt
670,Not mentioned
671,Entire home/apt
673,Entire home/apt
674,Not mentioned
675,Not mentioned
676,Not mentioned
677,Not mentioned
679,Entire home/apt
680,Entire home/apt
681,Not mentioned
683,Entire home/apt
684,Not mentioned
685,Not mentioned
686,Entire home/apt
687,Not mentioned
689,Entire home/apt
690,Entire home/apt
691,Entire home/apt
692,Not mentioned
694,Entire home/apt
695,Not mentioned
696,Not mentioned
697,Not mentioned
698,Not mentioned
699,Not mentioned
700,Not mentioned
701,Not mentioned
702,Not mentioned
703,Not mentioned
704,Not mentioned
705,Not mentioned
706,Not mentioned
708,Entire home/apt
709,Entire home/apt
710,Entire home/apt
712,Entire home/apt
713,Private room
715,Entire home/apt
716,Entire home/apt
717,Not mentioned
719,Entire home/apt
720,Not mentioned
721,Not mentioned
723,Entire home/apt
725,Entire home/apt
727,Entire home/apt
728,Not mentioned
729,Not mentioned
730,Not mentioned
731,Not mentioned
732,Not mentioned
733,Not mentioned
734,Not mentioned
735,Not mentioned
736,Not mentioned
737,Not mentioned
738,Not mentioned
739,Not mentioned
740,Not mentioned
741,Not mentioned
742,Not mentioned
743,Entire home/apt
744,Private room
745,Not mentioned
746,Not mentioned
748,Entire home/apt
749,Not mentioned
750,Entire home/apt
751,Entire home/apt
753,Entire home/apt
754,Private room
755,Not mentioned
757,Entire home/apt
758,Not mentioned
760,Entire home/apt
761,Not mentioned
762,Not mentioned
763,Not mentioned
764,Not mentioned
765,Not mentioned
766,Entire home/apt
767,Not mentioned
768,Not mentioned
769,Entire home/apt
770,Not mentioned
771,Not mentioned
772,Not mentioned
774,Entire home/apt
775,Not mentioned
776,Not mentioned
777,Not mentioned
778,Not mentioned
780,Entire home/apt
781,Not mentioned
782,Not mentioned
783,Not mentioned
784,Not mentioned
785,Not mentioned
786,Not mentioned
787,Not mentioned
788,Not mentioned
789,Not mentioned
790,Entire home/apt
791,Private room
793,Entire home/apt
794,Entire home/apt
795,Private room
796,Not mentioned
797,Not mentioned
