,Neighbourhhood
1963,
1964,Ballsbridge
1965,
1966,City Centre
1967,
1968,City Centre
1969,
1970,City Centre
1971,
1972,City Centre
1973,
1974,City Centre
1975,
1976,Old City
1977,
1978,City Centre
1979,Docklands
1980,Old City
1981,Temple Bar
1982,Trinity College
1983,
1984,City Centre
1985,
1986,City Centre
1987,City Centre
1988,North City Central/O'Connell Street
1989,
1990,City Centre
1991,
1992,Artane
1993,
1994,City Centre
1995,Grafton Street/St. Stephens Green
1996,Temple Bar
1997,Trinity College
1998,Drumcondra
1999,Docklands
2000,Addison Park
2001,Artane
2002,Ballinteer
2003,Ballsbridge
2004,Ballybough
2005,Ballyfermot
2006,Ballymun
2007,Beaumont
2008,Blackrock
2009,
2010,Docklands
2011,
2012,City Centre
2013,City Centre
2014,Old City
2015,Old City
2016,City Centre
2017,Old City
2018,City Centre
2019,Old City
2020,
2021,City Centre
2022,
2023,City Centre
2024,City Centre
2025,North City Central/O'Connell Street
2026,
2027,City Centre
2028,North City Central/O'Connell Street
2029,
2030,City Centre
2031,
2032,City Centre
2033,
2034,Docklands
2035,
2036,Docklands
2037,Ringsend/Irishtown
2038,
2039,City Centre
2040,
2041,Drumcondra
2042,
2043,Temple Bar
2044,
2045,Docklands
2046,
2047,City Centre
2048,
2049,City Centre
2050,
2051,City Centre
2052,
2053,Temple Bar
2054,
2055,City Centre
2056,
2057,City Centre
2058,City Centre
2059,Temple Bar
2060,
2061,City Centre
2062,Old City
2063,
2064,Clontarf
2065,
2066,City Centre
2067,Smithfield
2068,
2069,Smithfield
2070,Smithfield
2071,Stoneybatter/Arbour Hill
2072,
2073,City Centre
2074,
2075,City Centre
2076,
2077,City Centre
2078,
2079,City Centre
2080,
2081,City Centre
2082,
2083,City Centre
2084,
2085,City Centre
2086,
2087,City Centre
2088,Old City
2089,
2090,City Centre
2091,
2092,City Centre
2093,Old City
2094,
2095,City Centre
2096,
2097,City Centre
2098,
2099,City Centre
2100,
2101,City Centre
2102,City Centre
2103,
2104,City Centre
2105,Old City
2106,Old City
2107,
2108,City Centre
2109,Ranelagh and Rathmines
2110,Portobello
2111,
2112,City Centre
2113,Ranelagh and Rathmines
2114,Portobello
2115,Rathgar
2116,
2117,City Centre
2118,
2119,City Centre
2120,Temple Bar
2121,Temple Bar
2122,
2123,Clondalkin
2124,
2125,Ballsbridge
2126,City Centre
2127,City Centre
2128,
2129,Ballsbridge
2130,
2131,Ballsbridge
2132,
2133,Ballsbridge
2134,
2135,City Centre
2136,
2137,City Centre
2138,
2139,City Centre
2140,City Centre
2141,Ballsbridge
2142,City Centre
2143,Docklands
2144,Ballsbridge
2145,Bonnybrook/Darndale
2146,
2147,Ranelagh and Rathmines
2148,
2149,City Centre
2150,City Centre
2151,Ranelagh and Rathmines
2152,
2153,City Centre
2154,Docklands
2155,
2156,City Centre
2157,
2158,City Centre
2159,
2160,City Centre
2161,
2162,City Centre
2163,
2164,City Centre
2165,Old City
2166,Temple Bar
2167,Trinity College
2168,
2169,City Centre
2170,Ballsbridge
2171,
2172,City Centre
2173,City Centre
2174,Ballsbridge
2175,
2176,City Centre
2177,City Centre
2178,Ballsbridge
2179,City Centre
2180,Ballsbridge
2181,
2182,City Centre
2183,
2184,City Centre
2185,
2186,City Centre
2187,
2188,City Centre
2189,
2190,City Centre
2191,
2192,City Centre
2193,
2194,City Centre
2195,
2196,City Centre
2197,
2198,City Centre
2199,City Centre
2200,North City Central/O'Connell Street
2201,Temple Bar
2202,Temple Bar
2203,
2204,City Centre
2205,Temple Bar
2206,Temple Bar
2207,Temple Bar
2208,Templeogue
2209,
2210,City Centre
2211,
2212,City Centre
2213,
2214,City Centre
2215,City Centre
2216,Old City
2217,Old City
2218,
2219,City Centre
2220,Old City
2221,
2222,City Centre
2223,City Centre
2224,North City Central/O'Connell Street
2225,
2226,City Centre
2227,
2228,City Centre
2229,North City Central/O'Connell Street
2230,
2231,City Centre
2232,
2233,East Wall
2234,
2235,City Centre
2236,Old City
2237,
2238,Old City
2239,
2240,City Centre
2241,Old City
2242,
2243,City Centre
2244,
2245,City Centre
2246,
2247,City Centre
2248,
2249,City Centre
2250,
2251,City Centre
2252,
2253,Grafton Street/St. Stephens Green
2254,Phoenix Park and Surrounds
2255,Portobello
2256,Smithfield
2257,Temple Bar
2258,Trinity College
2259,
2260,Ballsbridge
2261,Drumcondra
2262,Grafton Street/St. Stephens Green
2263,Ranelagh and Rathmines
2264,Ringsend/Irishtown
2265,Sandymount
2266,Smithfield
2267,Temple Bar
2268,Trinity College
2269,
2270,Ballsbridge
2271,Donnybrook
2272,Kilmainham
2273,Portobello
2274,Ballsbridge
2275,Donnybrook
2276,Portobello
2277,Ballsbridge
2278,Donnybrook
2279,Kilmainham
2280,Portobello
2281,
2282,City Centre
2283,
2284,City Centre
2285,
2286,City Centre
2287,North City Central/O'Connell Street
2288,Smithfield
2289,City Centre
2290,North City Central/O'Connell Street
2291,Smithfield
2292,Docklands
2293,Fairview
2294,Phibsborough
2295,Portobello
2296,Ranelagh and Rathmines
2297,Rathfarnham
2298,Temple Bar
2299,
2300,City Centre
2301,
2302,City Centre
2303,
2304,Marino
2305,
2306,City Centre
2307,
2308,City Centre
2309,City Centre
2310,Old City
2311,Docklands
2312,
2313,City Centre
2314,
2315,City Centre
2316,
2317,City Centre
2318,
2319,City Centre
2320,Docklands
2321,Georgian Quarter
2322,Grafton Street/St. Stephens Green
2323,Ranelagh and Rathmines
2324,
2325,City Centre
2326,
2327,City Centre
2328,Temple Bar
2329,
2330,City Centre
2331,
2332,Dundrum
2333,
2334,City Centre
2335,
2336,Dundrum
2337,
2338,City Centre
2339,
2340,City Centre
2341,
2342,City Centre
2343,City Centre
2344,Old City
2345,
2346,City Centre
2347,
2348,City Centre
2349,East Wall
2350,
2351,East Wall
2352,
2353,Ranelagh and Rathmines
2354,
2355,City Centre
2356,
2357,City Centre
2358,
2359,City Centre
2360,
2361,Ranelagh and Rathmines
2362,
2363,City Centre
2364,
2365,City Centre
2366,
2367,City Centre
2368,
2369,City Centre
2370,
2371,City Centre
2372,
2373,City Centre
2374,
2375,City Centre
2376,Ranelagh and Rathmines
2377,
2378,City Centre
2379,
2380,City Centre
2381,
2382,City Centre
2383,
2384,Ballsbridge
2385,
2386,Temple Bar
2387,
2388,City Centre
2389,Ballsbridge
2390,Ranelagh and Rathmines
2391,
2392,Temple Bar
2393,
2394,City Centre
2395,City Centre
2396,
2397,City Centre
2398,
2399,City Centre
2400,
2401,Smithfield
2402,
2403,City Centre
2404,City Centre
2405,
2406,City Centre
2407,
2408,City Centre
2409,
2410,City Centre
2411,
2412,City Centre
2413,
2414,Ranelagh and Rathmines
2415,
2416,City Centre
2417,Old City
2418,
2419,City Centre
2420,
2421,City Centre
2422,City Centre
2423,Temple Bar
2424,Grafton Street/St. Stephens Green
2425,Grafton Street/St. Stephens Green
2426,Temple Bar
2427,Old City
2428,Temple Bar
2429,
2430,City Centre
2431,Temple Bar
2432,Trinity College
2433,
2434,Temple Bar
2435,
2436,Grafton Street/St. Stephens Green
2437,
2438,City Centre
2439,
2440,Old City
2441,
2442,Ballsbridge
2443,
2444,Ranelagh and Rathmines
2445,
2446,City Centre
2447,
2448,City Centre
2449,
2450,City Centre
2451,Castleknock
2452,Finglas
2453,Grafton Street/St. Stephens Green
2454,Phoenix Park and Surrounds
2455,
2456,Addison Park
2457,Ballsbridge
2458,Blackrock
2459,Ranelagh and Rathmines
2460,Rathgar
2461,Sandymount
2462,Ranelagh and Rathmines
2463,
2464,City Centre
2465,Ballsbridge
2466,Donnybrook
2467,Georgian Quarter
2468,Ranelagh and Rathmines
2469,
2470,City Centre
2471,
2472,City Centre
2473,Temple Bar
2474,
2475,City Centre
2476,
2477,City Centre
2478,
2479,City Centre
2480,
2481,City Centre
2482,Old City
2483,Temple Bar
2484,Trinity College
2485,
2486,City Centre
2487,Docklands
2488,Blackrock
2489,Grafton Street/St. Stephens Green
2490,Harold's Cross
2491,Old City
2492,Portobello
2493,Ranelagh and Rathmines
2494,Rathgar
2495,Rialto
2496,
2497,City Centre
2498,
2499,Ballsbridge
2500,Docklands
2501,Donnybrook
2502,Inchicore
2503,Ranelagh and Rathmines
2504,Sandymount
2505,Sandymount
2506,Ballsbridge
2507,Docklands
2508,Donnybrook
2509,Inchicore
2510,
2511,City Centre
2512,
2513,City Centre
2514,Temple Bar
2515,City Centre
2516,Temple Bar
2517,Old City
2518,Trinity College
2519,
2520,City Centre
2521,
2522,City Centre
2523,
2524,City Centre
2525,
2526,City Centre
2527,City Centre
2528,
2529,City Centre
2530,
2531,City Centre
2532,
2533,Temple Bar
2534,
2535,City Centre
2536,City Centre
2537,City Centre
2538,
2539,Ardilea
2540,Donnybrook
2541,
2542,City Centre
2543,
2544,City Centre
2545,
2546,City Centre
2547,North City Central/O'Connell Street
2548,City Centre
2549,Old City
2550,
2551,Temple Bar
2552,
2553,City Centre
2554,
2555,Docklands
2556,
2557,City Centre
2558,City Centre
2559,Rathfarnham
2560,Clontarf
2561,Ranelagh and Rathmines
2562,Smithfield
2563,
2564,City Centre
2565,Temple Bar
2566,Old City
2567,
2568,City Centre
2569,Docklands
2570,Docklands
2571,
2572,City Centre
2573,
2574,City Centre
2575,
2576,City Centre
2577,
2578,City Centre
2579,
2580,City Centre
2581,
2582,City Centre
2583,Old City
2584,
2585,City Centre
2586,
2587,Ballsbridge
2588,Ringsend/Irishtown
2589,Sandymount
2590,
2591,City Centre
2592,
2593,City Centre
2594,
2595,City Centre
2596,
2597,City Centre
2598,
2599,Temple Bar
2600,
2601,Ballsbridge
2602,Portobello
2603,Temple Bar
2604,Trinity College
2605,City Centre
2606,Ballsbridge
2607,Ballymun
2608,Kilmainham
2609,Phibsborough
2610,Portobello
2611,Temple Bar
2612,Trinity College
2613,Docklands
2614,Ballsbridge
2615,Dundrum
2616,Kilmainham
2617,North City Central/O'Connell Street
2618,Portobello
2619,Temple Bar
2620,Trinity College
2621,
2622,City Centre
2623,
2624,Dartry
2625,Docklands
2626,Donnybrook
2627,Ranelagh and Rathmines
2628,Rathgar
2629,Sandymount
2630,
2631,City Centre
2632,
2633,City Centre
2634,Ranelagh and Rathmines
2635,Donnybrook
2636,Temple Bar
2637,Docklands
2638,
2639,City Centre
2640,Docklands
2641,Old City
2642,Ballyfermot
2643,Courtlands
2644,Old City
2645,City Centre
2646,Docklands
2647,Old City
2648,City Centre
2649,Docklands
2650,Old City
2651,Portobello
2652,
2653,City Centre
2654,City Centre
2655,North City Central/O'Connell Street
2656,
2657,City Centre
2658,North City Central/O'Connell Street
2659,
2660,City Centre
2661,Docklands
2662,
2663,City Centre
2664,
2665,City Centre
2666,
2667,City Centre
2668,
2669,City Centre
2670,City Centre
2671,
2672,City Centre
2673,
2674,City Centre
2675,
2676,City Centre
2677,Old City
2678,
2679,City Centre
2680,Temple Bar
2681,Trinity College
2682,
2683,City Centre
2684,
2685,City Centre
2686,
2687,City Centre
2688,City Centre
2689,Ranelagh and Rathmines
2690,
2691,City Centre
2692,
2693,City Centre
2694,
2695,City Centre
2696,Docklands
2697,
2698,City Centre
2699,
2700,City Centre
2701,
2702,City Centre
2703,
2704,City Centre
2705,Old City
2706,
2707,City Centre
2708,
2709,City Centre
2710,
2711,Temple Bar
2712,
2713,City Centre
2714,
2715,North City Central/O'Connell Street
2716,
2717,City Centre
2718,
2719,City Centre
2720,Old City
2721,
2722,City Centre
2723,
2724,City Centre
2725,
2726,City Centre
2727,
2728,City Centre
2729,
2730,City Centre
2731,
2732,Ringsend/Irishtown
2733,
2734,City Centre
2735,
2736,City Centre
2737,
2738,City Centre
2739,
2740,City Centre
2741,
2742,City Centre
2743,Trinity College
2744,
2745,City Centre
2746,Ballsbridge
2747,Grafton Street/St. Stephens Green
2748,Temple Bar
2749,City Centre
2750,Ballsbridge
2751,Grafton Street/St. Stephens Green
2752,Temple Bar
2753,Trinity College
2754,
2755,City Centre
2756,North City Central/O'Connell Street
2757,
2758,City Centre
2759,
2760,City Centre
2761,Old City
2762,Old City
2763,
2764,City Centre
2765,
2766,City Centre
2767,
2768,City Centre
2769,
2770,City Centre
2771,
2772,Docklands
2773,Old City
2774,
2775,City Centre
2776,
2777,City Centre
2778,Portobello
2779,
2780,City Centre
2781,
2782,Ballsbridge
2783,
2784,City Centre
2785,
2786,City Centre
2787,
2788,City Centre
2789,
2790,Smithfield
2791,Stoneybatter/Arbour Hill
2792,
2793,City Centre
2794,North City Central/O'Connell Street
2795,
2796,City Centre
2797,
2798,City Centre
2799,
2800,Ballsbridge
2801,Donnybrook
2802,
2803,Ballsbridge
2804,Donnybrook
2805,
2806,City Centre
2807,
2808,City Centre
2809,
2810,City Centre
2811,Trinity College
2812,
2813,City Centre
2814,
2815,City Centre
2816,
2817,City Centre
2818,Old City
2819,
2820,Temple Bar
2821,
2822,City Centre
2823,
2824,City Centre
2825,
2826,City Centre
2827,
2828,City Centre
2829,
2830,Docklands
2831,
2832,City Centre
2833,Ballsbridge
2834,Donnybrook
2835,Portobello
2836,Ranelagh and Rathmines
2837,
2838,City Centre
2839,
2840,City Centre
2841,
2842,Temple Bar
2843,Trinity College
2844,
2845,City Centre
2846,
2847,City Centre
2848,
2849,City Centre
2850,
2851,City Centre
2852,
2853,City Centre
2854,
2855,City Centre
2856,Old City
2857,Docklands
2858,
2859,City Centre
2860,Drumcondra
2861,North City Central/O'Connell Street
2862,City Centre
2863,North City Central/O'Connell Street
2864,Drumcondra
2865,City Centre
2866,Temple Bar
2867,
2868,City Centre
2869,
2870,City Centre
2871,
2872,City Centre
2873,
2874,City Centre
2875,
2876,City Centre
2877,
2878,Temple Bar
2879,
2880,City Centre
2881,
2882,City Centre
2883,City Centre
2884,Docklands
2885,City Centre
2886,North City Central/O'Connell Street
2887,
2888,City Centre
2889,
2890,City Centre
2891,
2892,City Centre
2893,Temple Bar
2894,City Centre
2895,
2896,Temple Bar
2897,
2898,North City Central/O'Connell Street
2899,
2900,City Centre
2901,
2902,City Centre
2903,Temple Bar
2904,
2905,Old City
2906,
2907,City Centre
2908,Old City
2909,North City Central/O'Connell Street
2910,
2911,City Centre
2912,
2913,City Centre
2914,
2915,Old City
2916,
2917,City Centre
2918,City Centre
2919,Old City
2920,City Centre
2921,Old City
2922,Docklands
2923,
2924,City Centre
2925,Old City
2926,
2927,Crumlin
2928,
2929,City Centre
2930,
2931,City Centre
2932,
2933,City Centre
2934,North City Central/O'Connell Street
2935,
2936,City Centre
2937,
2938,City Centre
2939,
2940,City Centre
2941,North City Central/O'Connell Street
2942,Ballsbridge
2943,Fairview
2944,Georgian Quarter
2945,Phibsborough
2946,
2947,City Centre
2948,
2949,City Centre
2950,
2951,City Centre
2952,
2953,City Centre
2954,
2955,City Centre
2956,
2957,City Centre
2958,
2959,City Centre
2960,
2961,City Centre
2962,Temple Bar
2963,
2964,City Centre
2965,
2966,City Centre
2967,Trinity College
2968,
2969,City Centre
2970,
2971,City Centre
2972,
2973,City Centre
2974,Old City
2975,
2976,City Centre
2977,Docklands
2978,City Centre
2979,Docklands
2980,
2981,Ranelagh and Rathmines
2982,Rathgar
2983,
2984,City Centre
2985,
2986,City Centre
2987,City Centre
2988,Docklands
2989,
2990,City Centre
2991,City Centre
2992,Temple Bar
2993,
2994,City Centre
2995,
2996,City Centre
2997,City Centre
2998,
2999,City Centre
3000,Temple Bar
3001,Trinity College
3002,
3003,City Centre
3004,Docklands
3005,
3006,City Centre
3007,
3008,City Centre
3009,City Centre
3010,Drumcondra
3011,Docklands
3012,City Centre
3013,North City Central/O'Connell Street
3014,
3015,City Centre
3016,
3017,City Centre
3018,Old City
3019,
3020,Sandymount
3021,
3022,City Centre
3023,Temple Bar
3024,Temple Bar
3025,
3026,City Centre
3027,
3028,City Centre
3029,City Centre
3030,
3031,City Centre
3032,
3033,City Centre
3034,City Centre
3035,
3036,Knocklyon
3037,
3038,City Centre
3039,
3040,Ballsbridge
3041,Dundrum
3042,Georgian Quarter
3043,Sandymount
3044,
3045,City Centre
3046,
3047,City Centre
3048,Temple Bar
3049,Temple Bar
3050,
3051,Trinity College
3052,
3053,City Centre
3054,
3055,City Centre
3056,
3057,City Centre
3058,Old City
3059,
3060,City Centre
3061,North City Central/O'Connell Street
3062,
3063,City Centre
3064,
3065,City Centre
3066,Temple Bar
3067,
3068,Docklands
3069,
3070,City Centre
3071,City Centre
3072,North City Central/O'Connell Street
3073,Smithfield
3074,City Centre
3075,Old City
3076,North City Central/O'Connell Street
3077,Smithfield
3078,
3079,Temple Bar
3080,
3081,City Centre
3082,
3083,Ballsbridge
3084,
3085,City Centre
3086,
3087,City Centre
3088,Temple Bar
3089,
3090,City Centre
3091,City Centre
3092,Drumcondra
3093,
3094,City Centre
3095,City Centre
3096,Drumcondra
3097,Drumcondra
3098,
3099,City Centre
3100,
3101,Rathgar
3102,
3103,City Centre
3104,
3105,Temple Bar
3106,
3107,City Centre
3108,City Centre
3109,Docklands
3110,
3111,Temple Bar
3112,
3113,City Centre
3114,
3115,Ranelagh and Rathmines
3116,Rathgar
3117,
3118,City Centre
3119,
3120,City Centre
3121,
3122,City Centre
3123,Georgian Quarter
3124,Grafton Street/St. Stephens Green
3125,Kilmainham
3126,Temple Bar
3127,Trinity College
3128,City Centre
3129,Georgian Quarter
3130,Grafton Street/St. Stephens Green
3131,Temple Bar
3132,Trinity College
3133,
3134,Ballsbridge
3135,Blackrock
3136,Booterstown
3137,Donnybrook
3138,Ringsend/Irishtown
3139,Sandymount
3140,
3141,City Centre
3142,
3143,City Centre
3144,
3145,City Centre
3146,
3147,City Centre
3148,
3149,City Centre
3150,
3151,Donnybrook
3152,
3153,City Centre
3154,
3155,City Centre
3156,
3157,City Centre
3158,Docklands
3159,Trinity College
3160,
3161,City Centre
3162,
3163,City Centre
3164,
3165,City Centre
3166,
3167,City Centre
3168,Old City
3169,
3170,Donnybrook
3171,
3172,Donnybrook
3173,
3174,City Centre
3175,
3176,City Centre
3177,Old City
3178,
3179,City Centre
3180,
3181,Ballsbridge
3182,
3183,City Centre
3184,
3185,City Centre
3186,
3187,City Centre
3188,Docklands
3189,Old City
3190,
3191,Temple Bar
3192,
3193,City Centre
3194,
3195,City Centre
3196,
3197,City Centre
3198,Docklands
3199,Old City
3200,Rialto
3201,Phoenix Park and Surrounds
3202,Rialto
3203,Trinity College
3204,
3205,City Centre
3206,Temple Bar
3207,Docklands
3208,
3209,City Centre
3210,Temple Bar
3211,Docklands
3212,
3213,Temple Bar
3214,
3215,City Centre
3216,
3217,Grafton Street/St. Stephens Green
3218,Portobello
3219,Rialto
3220,Smithfield
3221,Temple Bar
3222,Trinity College
3223,
3224,City Centre
3225,Donnybrook
3226,Old City
3227,Ranelagh and Rathmines
3228,Sandymount
3229,Ranelagh and Rathmines
3230,
3231,Ranelagh and Rathmines
3232,
3233,North City Central/O'Connell Street
3234,
3235,City Centre
3236,
3237,City Centre
3238,
3239,City Centre
3240,
3241,City Centre
3242,
3243,City Centre
3244,
3245,City Centre
3246,
3247,City Centre
3248,
3249,City Centre
3250,
3251,City Centre
3252,
3253,Temple Bar
3254,
3255,City Centre
3256,
3257,City Centre
3258,
3259,City Centre
3260,City Centre
3261,Temple Bar
3262,Temple Bar
3263,
3264,City Centre
3265,
3266,City Centre
3267,
3268,City Centre
3269,
3270,City Centre
3271,
3272,Ranelagh and Rathmines
3273,
3274,City Centre
3275,Ranelagh and Rathmines
3276,Temple Bar
3277,
3278,Sandymount
3279,
3280,Blackrock
3281,
3282,City Centre
3283,
3284,Phibsborough
3285,Phibsborough
3286,Phibsborough
3287,
3288,Phibsborough
3289,
3290,City Centre
3291,Old City
3292,
3293,City Centre
3294,
3295,City Centre
3296,
3297,City Centre
3298,City Centre
3299,Ranelagh and Rathmines
3300,Ranelagh and Rathmines
3301,
3302,City Centre
3303,
3304,City Centre
3305,
3306,City Centre
3307,Temple Bar
3308,
3309,City Centre
3310,Old City
3311,
3312,City Centre
3313,Grafton Street/St. Stephens Green
3314,Temple Bar
3315,Trinity College
3316,
3317,City Centre
3318,
3319,Blackrock
3320,
3321,Blackrock
3322,
3323,Blackrock
3324,
3325,Old City
3326,City Centre
3327,Temple Bar
3328,Old City
3329,City Centre
3330,Temple Bar
3331,
3332,City Centre
3333,
3334,City Centre
3335,
3336,Docklands
3337,East Wall
3338,East Wall
3339,
3340,City Centre
3341,
3342,City Centre
3343,Temple Bar
3344,
3345,City Centre
3346,
3347,City Centre
3348,Temple Bar
3349,
3350,City Centre
3351,
3352,City Centre
3353,
3354,City Centre
3355,
3356,Harold's Cross
3357,
3358,City Centre
3359,
3360,Rialto
3361,
3362,City Centre
3363,
3364,City Centre
3365,
3366,City Centre
3367,
3368,City Centre
3369,
3370,City Centre
3371,
3372,City Centre
3373,Temple Bar
3374,
3375,City Centre
3376,North City Central/O'Connell Street
3377,
3378,City Centre
3379,
3380,City Centre
3381,
3382,Ballsbridge
3383,Sandymount
3384,
3385,City Centre
3386,
3387,City Centre
3388,Temple Bar
3389,
3390,City Centre
3391,
3392,City Centre
3393,
3394,City Centre
3395,
3396,City Centre
3397,City Centre
3398,Temple Bar
3399,Temple Bar
3400,
3401,City Centre
3402,Santry
3403,Drumcondra
3404,Santry
3405,Santry
3406,
3407,City Centre
3408,
3409,City Centre
3410,Docklands
3411,City Centre
3412,Temple Bar
3413,
3414,City Centre
3415,City Centre
3416,Docklands
3417,Old City
3418,City Centre
3419,Old City
3420,
3421,City Centre
3422,Old City
3423,
3424,Raheny
3425,
3426,City Centre
3427,City Centre
3428,City Centre
3429,Temple Bar
3430,Old City
3431,
3432,City Centre
3433,
3434,City Centre
3435,
3436,City Centre
3437,
3438,City Centre
3439,
3440,City Centre
3441,
3442,City Centre
3443,
3444,City Centre
3445,
3446,City Centre
3447,Old City
3448,Docklands
3449,Temple Bar
3450,Trinity College
3451,Trinity College
3452,
3453,Old City
3454,Trinity College
3455,Trinity College
3456,
3457,City Centre
3458,
3459,City Centre
3460,
3461,City Centre
3462,
3463,City Centre
3464,
3465,Portobello
3466,
3467,City Centre
3468,Smithfield
3469,Smithfield
3470,
3471,City Centre
3472,
3473,City Centre
3474,
3475,City Centre
3476,City Centre
3477,Phibsborough
3478,City Centre
3479,City Centre
3480,Phibsborough
3481,
3482,City Centre
3483,North City Central/O'Connell Street
3484,Old City
3485,
3486,City Centre
3487,
3488,City Centre
3489,Old City
3490,
3491,North City Central/O'Connell Street
3492,
3493,Portobello
3494,
3495,City Centre
3496,
3497,City Centre
3498,
3499,Old City
3500,Temple Bar
3501,Trinity College
3502,
3503,City Centre
3504,Portobello
3505,Temple Bar
3506,Trinity College
3507,
3508,Temple Bar
3509,
3510,City Centre
3511,
3512,City Centre
3513,
3514,City Centre
3515,
3516,City Centre
3517,
3518,Clontarf
3519,
3520,City Centre
3521,
3522,City Centre
3523,Old City
3524,Stoneybatter/Arbour Hill
3525,
3526,City Centre
3527,
3528,City Centre
3529,North City Central/O'Connell Street
3530,Old City
3531,
3532,City Centre
3533,
3534,City Centre
3535,
3536,City Centre
3537,
3538,City Centre
3539,
3540,City Centre
3541,
3542,City Centre
3543,City Centre
3544,Temple Bar
3545,
3546,City Centre
3547,
3548,City Centre
3549,
3550,City Centre
3551,
3552,Temple Bar
3553,
3554,City Centre
3555,
3556,City Centre
3557,
3558,Kilmainham
3559,
3560,Kilmainham
3561,Kilmainham
3562,
3563,Kilmainham
3564,Kilmainham
3565,Kilmainham
3566,
3567,City Centre
3568,
3569,City Centre
3570,
3571,Temple Bar
3572,
3573,Portobello
3574,Smithfield
3575,Stoneybatter/Arbour Hill
3576,Portobello
3577,Stoneybatter/Arbour Hill
3578,
3579,City Centre
3580,Old City
3581,
3582,City Centre
3583,
3584,Portobello
3585,
3586,City Centre
3587,City Centre
3588,North City Central/O'Connell Street
3589,Old City
3590,Drumcondra
3591,Drumcondra
3592,
3593,City Centre
3594,
3595,City Centre
3596,
3597,City Centre
3598,Temple Bar
3599,Clontarf
3600,Drumcondra
3601,
3602,City Centre
3603,
3604,City Centre
3605,
3606,City Centre
3607,Ranelagh and Rathmines
3608,Rathgar
3609,
3610,Docklands
3611,Ringsend/Irishtown
3612,
3613,City Centre
3614,Old City
3615,
3616,City Centre
3617,
3618,City Centre
3619,
3620,City Centre
3621,
3622,City Centre
3623,
3624,City Centre
3625,City Centre
3626,North City Central/O'Connell Street
3627,City Centre
3628,
3629,City Centre
3630,
3631,City Centre
3632,City Centre
3633,Temple Bar
3634,
3635,Ballsbridge
3636,
3637,City Centre
3638,
3639,City Centre
3640,
3641,City Centre
3642,
3643,City Centre
3644,Terenure
3645,Old City
3646,Docklands
3647,Donnybrook
3648,Dundrum
3649,Temple Bar
3650,
3651,Old City
3652,City Centre
3653,Temple Bar
3654,
3655,City Centre
3656,
3657,Ballsbridge
3658,Blackrock
3659,Booterstown
3660,Donnybrook
3661,
3662,Ranelagh and Rathmines
3663,
3664,City Centre
3665,City Centre
3666,Old City
3667,
3668,City Centre
3669,
3670,City Centre
3671,
3672,City Centre
3673,
3674,Addison Park
3675,
3676,City Centre
3677,Docklands
3678,Grafton Street/St. Stephens Green
3679,Temple Bar
3680,Trinity College
3681,
3682,City Centre
3683,
3684,City Centre
3685,
3686,City Centre
3687,Old City
3688,
3689,City Centre
3690,Trinity College
3691,City Centre
3692,Trinity College
3693,Georgian Quarter
3694,
3695,City Centre
3696,
3697,City Centre
3698,
3699,City Centre
3700,
3701,City Centre
3702,
3703,City Centre
3704,
3705,City Centre
3706,
3707,City Centre
3708,Ballsbridge
3709,Sandymount
3710,
3711,Grafton Street/St. Stephens Green
3712,Ranelagh and Rathmines
3713,Smithfield
3714,
3715,East Wall
3716,
3717,City Centre
3718,
3719,City Centre
3720,City Centre
3721,Old City
3722,North City Central/O'Connell Street
3723,
3724,City Centre
3725,
3726,City Centre
3727,Old City
3728,
3729,City Centre
3730,
3731,City Centre
3732,
3733,City Centre
3734,
3735,City Centre
3736,
3737,Ranelagh and Rathmines
3738,
3739,City Centre
3740,Stoneybatter/Arbour Hill
3741,
3742,Docklands
3743,
3744,City Centre
