,Neighbourhhood
485,Temple Bar
486,Phibsborough
487,
488,City Centre
489,Docklands
490,Old City
491,Phoenix Park and Surrounds
492,Smithfield
493,Trinity College
494,
495,City Centre
496,Cabra
497,Phoenix Park and Surrounds
498,Temple Bar
499,Trinity College
500,
501,Ringsend/Irishtown
502,
503,City Centre
504,
505,City Centre
506,
507,City Centre
508,
509,City Centre
510,
511,City Centre
512,
513,City Centre
514,
515,City Centre
516,
517,City Centre
518,
519,City Centre
520,
521,Sandymount
522,
523,Portobello
524,
525,Ballsbridge
526,Donnybrook
527,Portobello
528,
529,Old City
530,Donnybrook
531,
532,City Centre
533,
534,City Centre
535,
536,City Centre
537,Docklands
538,Old City
539,
540,City Centre
541,
542,City Centre
543,
544,City Centre
545,
546,Ballsbridge
547,Sandymount
548,
549,Monkstown
550,
551,City Centre
552,
553,City Centre
554,
555,Ballsbridge
556,Ardilea
557,
558,City Centre
559,
560,City Centre
561,
562,City Centre
563,
564,City Centre
565,
566,City Centre
567,Old City
568,
569,City Centre
570,
571,City Centre
572,
573,City Centre
574,
575,City Centre
576,Docklands
577,
578,City Centre
579,Stoneybatter/Arbour Hill
580,Temple Bar
581,City Centre
582,Temple Bar
583,
584,Temple Bar
585,Temple Bar
586,
587,City Centre
588,
589,Old City
590,City Centre
591,
592,City Centre
593,
594,Old City
595,
596,Old City
597,Old City
598,
599,Blackrock
600,Bonnybrook/Darndale
601,
602,City Centre
603,
604,City Centre
605,Old City
606,
607,Old City
608,
609,City Centre
610,City Centre
611,Old City
612,City Centre
613,Old City
614,Docklands
615,
616,City Centre
617,City Centre
618,Temple Bar
619,Temple Bar
620,Trinity College
621,
622,City Centre
623,
624,City Centre
625,Temple Bar
626,Trinity College
627,
628,City Centre
629,
630,City Centre
631,
632,City Centre
633,
634,City Centre
635,
636,City Centre
637,
638,City Centre
639,Temple Bar
640,
641,Ballsbridge
642,Donnybrook
643,Georgian Quarter
644,Grafton Street/St. Stephens Green
645,
646,City Centre
647,Portobello
648,
649,City Centre
650,Temple Bar
651,
652,City Centre
653,
654,City Centre
655,
656,City Centre
657,Dundrum
658,Dundrum
659,Dundrum
660,
661,City Centre
662,
663,Temple Bar
664,
665,City Centre
666,
667,City Centre
668,City Centre
669,Finglas
670,Finglas
671,Trinity College
672,
673,City Centre
674,Docklands
675,Old City
676,
677,City Centre
678,
679,Old City
680,
681,Donnybrook
682,
683,City Centre
684,City Centre
685,Old City
686,Old City
687,
688,City Centre
689,
690,City Centre
691,Old City
692,
693,City Centre
694,City Centre
695,Old City
696,
697,City Centre
698,
699,City Centre
700,
701,Temple Bar
702,
703,City Centre
704,Old City
705,
706,Ballsbridge
707,
708,City Centre
709,
710,City Centre
711,
712,City Centre
713,
714,City Centre
715,
716,Temple Bar
717,
718,Docklands
719,Old City
720,
721,City Centre
722,City Centre
723,North City Central/O'Connell Street
724,City Centre
725,North City Central/O'Connell Street
726,Ballsbridge
727,
728,City Centre
729,North City Central/O'Connell Street
730,Ballsbridge
731,
732,City Centre
733,
734,Artane
735,
736,City Centre
737,
738,City Centre
739,Old City
740,
741,City Centre
742,Kilmainham
743,
744,Ballsbridge
745,
746,Ballsbridge
747,Blackrock
748,Booterstown
749,Donnybrook
750,Monkstown
751,Ringsend/Irishtown
752,Sandymount
753,Ballsbridge
754,Blackrock
755,Donnybrook
756,Sandymount
757,
758,City Centre
759,Old City
760,
761,City Centre
762,
763,City Centre
764,Temple Bar
765,
766,Ballsbridge
767,City Centre
768,
769,City Centre
770,
771,Ranelagh and Rathmines
772,
773,City Centre
774,
775,City Centre
776,City Centre
777,North City Central/O'Connell Street
778,Old City
779,
780,Ballsbridge
781,Docklands
782,Donnybrook
783,Temple Bar
784,Trinity College
785,
786,City Centre
787,
788,Blackrock
789,Blackrock
790,Booterstown
791,Monkstown
792,Sandymount
793,
794,Blackrock
795,Booterstown
796,Monkstown
797,Sandymount
798,Booterstown
799,Monkstown
800,Sandymount
801,
802,City Centre
803,City Centre
804,Temple Bar
805,
806,City Centre
807,City Centre
808,Old City
809,
810,City Centre
811,
812,City Centre
813,
814,City Centre
815,
816,City Centre
817,
818,City Centre
819,
820,City Centre
821,
822,City Centre
823,
824,City Centre
825,
826,Grafton Street/St. Stephens Green
827,
828,City Centre
829,
830,City Centre
831,
832,Ranelagh and Rathmines
833,Drumcondra
834,Blackrock
835,Clontarf
836,Docklands
837,Donnybrook
838,Kilmainham
839,Kimmage
840,Monkstown
841,North City Central/O'Connell Street
842,Rathgar
843,Trinity College
844,Ranelagh and Rathmines
845,North City Central/O'Connell Street
846,Blackrock
847,Clontarf
848,Docklands
849,Donnybrook
850,Drumcondra
851,Fairview
852,Kilmainham
853,Kimmage
854,Monkstown
855,Portobello
856,Rathgar
857,Trinity College
858,Ranelagh and Rathmines
859,North City Central/O'Connell Street
860,Blackrock
861,Clontarf
862,Docklands
863,Donnybrook
864,Drumcondra
865,Kilmainham
866,Kimmage
867,Monkstown
868,Rathgar
869,Trinity College
870,
871,City Centre
872,
873,Docklands
874,Old City
875,Old City
876,Docklands
877,
878,Donnybrook
879,
880,City Centre
881,
882,City Centre
883,
884,Docklands
885,
886,City Centre
887,
888,City Centre
889,
890,City Centre
891,
892,City Centre
893,
894,City Centre
895,
896,City Centre
897,Docklands
898,Ranelagh and Rathmines
899,City Centre
900,Docklands
901,Ranelagh and Rathmines
902,Addison Park
903,Ardilea
904,Artane
905,Ballsbridge
906,Ballybough
907,Courtlands
908,Donnybrook
909,Drumcondra
910,East Wall
911,Georgian Quarter
912,Glasnevin
913,Grafton Street/St. Stephens Green
914,Islandbridge
915,Kilmainham
916,North City Central/O'Connell Street
917,North Strand
918,Old City
919,Phibsborough
920,Phoenix Park and Surrounds
921,Portobello
922,Raheny
923,Rathgar
924,Rialto
925,Ringsend/Irishtown
926,Sandymount
927,Smithfield
928,Stoneybatter/Arbour Hill
929,Temple Bar
930,Trinity College
931,City Centre
932,Docklands
933,Ranelagh and Rathmines
934,Addison Park
935,Artane
936,Ballsbridge
937,Ballybough
938,Beaumont
939,Bonnybrook/Darndale
940,Cabra
941,Clontarf
942,Courtlands
943,Dartry
944,Donnybrook
945,Drumcondra
946,East Wall
947,Georgian Quarter
948,Grafton Street/St. Stephens Green
949,Inchicore
950,Islandbridge
951,Kilmainham
952,Knocklyon
953,North City Central/O'Connell Street
954,North Strand
955,Old City
956,Phibsborough
957,Phoenix Park and Surrounds
958,Portobello
959,Rathgar
960,Ringsend/Irishtown
961,Sandymount
962,Santry
963,Smithfield
964,Stoneybatter/Arbour Hill
965,Temple Bar
966,Trinity College
967,
968,City Centre
969,Docklands
970,Ranelagh and Rathmines
971,Addison Park
972,Ballsbridge
973,Blackrock
974,Courtlands
975,Donnybrook
976,Drumcondra
977,Georgian Quarter
978,Glasnevin
979,Grafton Street/St. Stephens Green
980,North City Central/O'Connell Street
981,North Strand
982,Old City
983,Phibsborough
984,Portobello
985,Smithfield
986,Stoneybatter/Arbour Hill
987,Temple Bar
988,Trinity College
989,
990,City Centre
991,
992,City Centre
993,
994,City Centre
995,
996,City Centre
997,
998,City Centre
999,
1000,City Centre
1001,
1002,City Centre
1003,
1004,City Centre
1005,
1006,City Centre
1007,
1008,Blackrock
1009,
1010,Temple Bar
1011,
1012,City Centre
1013,
1014,City Centre
1015,
1016,City Centre
1017,
1018,Drumcondra
1019,City Centre
1020,Old City
1021,
1022,Clontarf
1023,
1024,Old City
1025,
1026,Docklands
1027,
1028,City Centre
1029,
1030,City Centre
1031,
1032,City Centre
1033,
1034,City Centre
1035,Kilmainham
1036,Marino
1037,Temple Bar
1038,
1039,City Centre
1040,North City Central/O'Connell Street
1041,Phibsborough
1042,Smithfield
1043,Temple Bar
1044,Trinity College
1045,
1046,City Centre
1047,
1048,City Centre
1049,
1050,City Centre
1051,
1052,Donnybrook
1053,Sandymount
1054,
1055,Ballsbridge
1056,Booterstown
1057,Donnybrook
1058,Sandymount
1059,Ballsbridge
1060,Donnybrook
1061,Sandymount
1062,
1063,City Centre
1064,
1065,City Centre
1066,
1067,City Centre
1068,
1069,Temple Bar
1070,
1071,City Centre
1072,Drumcondra
1073,Docklands
1074,
1075,Temple Bar
1076,
1077,Temple Bar
1078,
1079,Donnybrook
1080,Ranelagh and Rathmines
1081,
1082,City Centre
1083,City Centre
1084,Clondalkin
1085,City Centre
1086,Ranelagh and Rathmines
1087,City Centre
1088,Trinity College
1089,Ranelagh and Rathmines
1090,
1091,City Centre
1092,Old City
1093,
1094,Temple Bar
1095,
1096,City Centre
1097,Temple Bar
1098,
1099,City Centre
1100,City Centre
1101,Temple Bar
1102,Temple Bar
1103,
1104,Old City
1105,
1106,City Centre
1107,
1108,City Centre
1109,
1110,City Centre
1111,
1112,City Centre
1113,
1114,Old City
1115,
1116,City Centre
1117,
1118,Blackrock
1119,Booterstown
1120,Monkstown
1121,Sandymount
1122,
1123,City Centre
1124,
1125,Old City
1126,
1127,Trinity College
1128,
1129,City Centre
1130,
1131,City Centre
1132,
1133,City Centre
1134,
1135,Temple Bar
1136,
1137,City Centre
1138,
1139,City Centre
1140,
1141,City Centre
1142,
1143,City Centre
1144,Old City
1145,
1146,City Centre
1147,City Centre
1148,Ballsbridge
1149,Temple Bar
1150,Trinity College
1151,
1152,Ballsbridge
1153,Donnybrook
1154,Raheny
1155,
1156,City Centre
1157,Docklands
1158,Ranelagh and Rathmines
1159,
1160,City Centre
1161,
1162,City Centre
1163,Old City
1164,
1165,City Centre
1166,
1167,City Centre
1168,
1169,City Centre
1170,City Centre
1171,
1172,City Centre
1173,
1174,Smithfield
1175,
1176,City Centre
1177,North City Central/O'Connell Street
1178,Docklands
1179,Ballsbridge
1180,Blackrock
1181,Old City
1182,Temple Bar
1183,Trinity College
1184,
1185,City Centre
1186,North City Central/O'Connell Street
1187,Ballsbridge
1188,Docklands
1189,Grafton Street/St. Stephens Green
1190,Smithfield
1191,Temple Bar
1192,Trinity College
1193,
1194,City Centre
1195,
1196,City Centre
1197,
1198,City Centre
1199,
1200,City Centre
1201,
1202,City Centre
1203,
1204,City Centre
1205,
1206,City Centre
1207,
1208,City Centre
1209,City Centre
1210,
1211,City Centre
1212,
1213,Temple Bar
1214,
1215,City Centre
1216,
1217,City Centre
